Year-Month,Sub-Category,Sales_Goal
2020-01,Accessories,807.12
2020-01,Appliances,340.76
2020-01,Art,185.2
2020-01,Binders,830.58
2020-01,Bookcases,940.57
2020-01,Chairs,3899.58
2020-01,Copiers,0.0
2020-01,Envelopes,208.59
2020-01,Fasteners,37.81
2020-01,Furnishings,809.28
2020-01,Labels,40.46
2020-01,Machines,0.0
2020-01,Paper,265.02
2020-01,Phones,2379.64
2020-01,Storage,2836.08
2020-01,Supplies,0.0
2020-01,Tables,319.96
2020-02,Accessories,1126.54
2020-02,Appliances,88.7
2020-02,Art,70.59
2020-02,Binders,346.85
2020-02,Bookcases,0.0
2020-02,Chairs,182.54
2020-02,Copiers,0.0
2020-02,Envelopes,0.0
2020-02,Fasteners,13.05
2020-02,Furnishings,369.38
2020-02,Labels,36.98
2020-02,Machines,0.0
2020-02,Paper,125.93
2020-02,Phones,498.01
2020-02,Storage,133.15
2020-02,Supplies,217.86
2020-02,Tables,1369.0
2020-03,Accessories,1212.21
2020-03,Appliances,533.98
2020-03,Art,397.12
2020-03,Binders,1402.91
2020-03,Bookcases,1769.32
2020-03,Chairs,6548.94
2020-03,Copiers,0.0
2020-03,Envelopes,352.86
2020-03,Fasteners,43.75
2020-03,Furnishings,874.03
2020-03,Labels,165.22
2020-03,Machines,26137.5
2020-03,Paper,1155.12
2020-03,Phones,6112.02
2020-03,Storage,4410.83
2020-03,Supplies,17.45
2020-03,Tables,7301.06
2020-04,Accessories,2686.09
2020-04,Appliances,579.39
2020-04,Art,612.76
2020-04,Binders,1005.05
2020-04,Bookcases,334.53
2020-04,Chairs,2946.42
2020-04,Copiers,0.0
2020-04,Envelopes,371.21
2020-04,Fasteners,98.13
2020-04,Furnishings,962.14
2020-04,Labels,75.38
2020-04,Machines,306.9
2020-04,Paper,607.51
2020-04,Phones,6082.76
2020-04,Storage,3711.44
2020-04,Supplies,3874.57
2020-04,Tables,3649.64
2020-05,Accessories,636.31
2020-05,Appliances,1277.87
2020-05,Art,313.02
2020-05,Binders,4544.88
2020-05,Bookcases,577.28
2020-05,Chairs,5385.31
2020-05,Copiers,3124.04
2020-05,Envelopes,224.0
2020-05,Fasteners,13.26
2020-05,Furnishings,720.09
2020-05,Labels,55.81
2020-05,Machines,316.83
2020-05,Paper,533.15
2020-05,Phones,6050.06
2020-05,Storage,688.79
2020-05,Supplies,73.27
2020-05,Tables,1935.1
2020-06,Accessories,643.72
2020-06,Appliances,2379.73
2020-06,Art,704.99
2020-06,Binders,4606.92
2020-06,Bookcases,755.35
2020-06,Chairs,5964.82
2020-06,Copiers,0.0
2020-06,Envelopes,100.54
2020-06,Fasteners,45.85
2020-06,Furnishings,456.2
2020-06,Labels,606.97
2020-06,Machines,694.91
2020-06,Paper,1147.67
2020-06,Phones,6405.43
2020-06,Storage,3547.63
2020-06,Supplies,25.02
2020-06,Tables,5709.43
2020-07,Accessories,3185.84
2020-07,Appliances,81.88
2020-07,Art,276.91
2020-07,Binders,2787.35
2020-07,Bookcases,1461.01
2020-07,Chairs,6690.25
2020-07,Copiers,529.62
2020-07,Envelopes,125.28
2020-07,Fasteners,23.32
2020-07,Furnishings,841.46
2020-07,Labels,211.53
2020-07,Machines,0.0
2020-07,Paper,817.58
2020-07,Phones,4442.68
2020-07,Storage,2601.7
2020-07,Supplies,7727.09
2020-07,Tables,2228.01
2020-08,Accessories,1952.98
2020-08,Appliances,2346.6
2020-08,Art,262.6
2020-08,Binders,4546.93
2020-08,Bookcases,732.33
2020-08,Chairs,2449.3
2020-08,Copiers,1724.45
2020-08,Envelopes,216.26
2020-08,Fasteners,92.07
2020-08,Furnishings,899.37
2020-08,Labels,41.46
2020-08,Machines,0.0
2020-08,Paper,2271.69
2020-08,Phones,5102.14
2020-08,Storage,2247.29
2020-08,Supplies,170.87
2020-08,Tables,2834.18
2020-09,Accessories,2468.8
2020-09,Appliances,2511.25
2020-09,Art,753.61
2020-09,Binders,13987.29
2020-09,Bookcases,2615.93
2020-09,Chairs,13161.66
2020-09,Copiers,1798.98
2020-09,Envelopes,366.18
2020-09,Fasteners,91.37
2020-09,Furnishings,2686.7
2020-09,Labels,389.9
2020-09,Machines,22432.29
2020-09,Paper,1315.7
2020-09,Phones,4480.07
2020-09,Storage,9541.17
2020-09,Supplies,372.14
2020-09,Tables,4284.33
2020-10,Accessories,1763.78
2020-10,Appliances,489.97
2020-10,Art,524.97
2020-10,Binders,496.69
2020-10,Bookcases,649.28
2020-10,Chairs,6558.57
2020-10,Copiers,2091.24
2020-10,Envelopes,331.51
2020-10,Fasteners,68.66
2020-10,Furnishings,833.98
2020-10,Labels,99.81
2020-10,Machines,93.64
2020-10,Paper,1057.29
2020-10,Phones,7818.58
2020-10,Storage,3558.14
2020-10,Supplies,476.44
2020-10,Tables,4872.17
2020-11,Accessories,3342.96
2020-11,Appliances,2379.19
2020-11,Art,615.1
2020-11,Binders,5995.34
2020-11,Bookcases,7474.61
2020-11,Chairs,6808.27
2020-11,Copiers,0.0
2020-11,Envelopes,1038.74
2020-11,Fasteners,74.59
2020-11,Furnishings,2487.57
2020-11,Labels,590.11
2020-11,Machines,5018.35
2020-11,Paper,4061.75
2020-11,Phones,23159.44
2020-11,Storage,10789.72
2020-11,Supplies,463.79
2020-11,Tables,4822.55
2020-12,Accessories,5405.15
2020-12,Appliances,3043.3
2020-12,Art,1421.11
2020-12,Binders,4065.88
2020-12,Bookcases,3296.99
2020-12,Chairs,18615.21
2020-12,Copiers,3018.21
2020-12,Envelopes,450.21
2020-12,Fasteners,196.67
2020-12,Furnishings,2668.08
2020-12,Labels,556.7
2020-12,Machines,8369.28
2020-12,Paper,2181.34
2020-12,Phones,6210.74
2020-12,Storage,5459.88
2020-12,Supplies,105.2
2020-12,Tables,9507.66
2021-01,Accessories,508.98
2021-01,Appliances,226.18
2021-01,Art,143.59
2021-01,Binders,213.33
2021-01,Bookcases,1626.19
2021-01,Chairs,3026.54
2021-01,Copiers,0.0
2021-01,Envelopes,18.15
2021-01,Fasteners,0.0
2021-01,Furnishings,1261.66
2021-01,Labels,50.16
2021-01,Machines,2944.65
2021-01,Paper,485.71
2021-01,Phones,1289.07
2021-01,Storage,567.18
2021-01,Supplies,95.17
2021-01,Tables,5588.98
2021-02,Accessories,1469.9
2021-02,Appliances,522.14
2021-02,Art,402.32
2021-02,Binders,2543.93
2021-02,Bookcases,269.38
2021-02,Chairs,2314.96
2021-02,Copiers,0.0
2021-02,Envelopes,415.91
2021-02,Fasteners,5.96
2021-02,Furnishings,218.26
2021-02,Labels,201.36
2021-02,Machines,0.0
2021-02,Paper,229.42
2021-02,Phones,1877.05
2021-02,Storage,934.53
2021-02,Supplies,0.0
2021-02,Tables,479.09
2021-03,Accessories,1236.22
2021-03,Appliances,1216.69
2021-03,Art,149.72
2021-03,Binders,9165.96
2021-03,Bookcases,2843.26
2021-03,Chairs,4870.52
2021-03,Copiers,3856.12
2021-03,Envelopes,210.83
2021-03,Fasteners,67.45
2021-03,Furnishings,1928.33
2021-03,Labels,581.7
2021-03,Machines,0.0
2021-03,Paper,1524.89
2021-03,Phones,4760.76
2021-03,Storage,3887.15
2021-03,Supplies,32.14
2021-03,Tables,4065.42
2021-04,Accessories,1665.74
2021-04,Appliances,4735.57
2021-04,Art,495.94
2021-04,Binders,4786.57
2021-04,Bookcases,805.16
2021-04,Chairs,4369.87
2021-04,Copiers,2942.58
2021-04,Envelopes,187.74
2021-04,Fasteners,30.39
2021-04,Furnishings,3219.1
2021-04,Labels,126.84
2021-04,Machines,1509.11
2021-04,Paper,473.28
2021-04,Phones,5230.86
2021-04,Storage,2088.19
2021-04,Supplies,19.88
2021-04,Tables,2480.01
2021-05,Accessories,1286.01
2021-05,Appliances,2286.52
2021-05,Art,737.95
2021-05,Binders,724.06
2021-05,Bookcases,2031.17
2021-05,Chairs,5877.38
2021-05,Copiers,2913.04
2021-05,Envelopes,442.56
2021-05,Fasteners,34.06
2021-05,Furnishings,1482.55
2021-05,Labels,234.77
2021-05,Machines,3098.97
2021-05,Paper,1318.02
2021-05,Phones,3875.64
2021-05,Storage,3091.34
2021-05,Supplies,516.7
2021-05,Tables,252.35
2021-06,Accessories,1787.05
2021-06,Appliances,129.69
2021-06,Art,357.83
2021-06,Binders,6179.83
2021-06,Bookcases,469.44
2021-06,Chairs,3644.17
2021-06,Copiers,903.97
2021-06,Envelopes,233.62
2021-06,Fasteners,9.8
2021-06,Furnishings,2558.3
2021-06,Labels,56.59
2021-06,Machines,0.0
2021-06,Paper,684.47
2021-06,Phones,3810.96
2021-06,Storage,3422.64
2021-06,Supplies,0.0
2021-06,Tables,872.22
2021-07,Accessories,5041.38
2021-07,Appliances,145.03
2021-07,Art,247.93
2021-07,Binders,1140.51
2021-07,Bookcases,2825.47
2021-07,Chairs,6696.96
2021-07,Copiers,0.0
2021-07,Envelopes,557.54
2021-07,Fasteners,54.61
2021-07,Furnishings,1515.26
2021-07,Labels,319.44
2021-07,Machines,434.59
2021-07,Paper,416.38
2021-07,Phones,4637.18
2021-07,Storage,1770.89
2021-07,Supplies,54.85
2021-07,Tables,2107.8
2021-08,Accessories,1312.05
2021-08,Appliances,1104.92
2021-08,Art,428.19
2021-08,Binders,2408.0
2021-08,Bookcases,3889.98
2021-08,Chairs,1415.87
2021-08,Copiers,2658.69
2021-08,Envelopes,0.0
2021-08,Fasteners,23.85
2021-08,Furnishings,722.53
2021-08,Labels,123.72
2021-08,Machines,3526.22
2021-08,Paper,1275.7
2021-08,Phones,8005.17
2021-08,Storage,6699.79
2021-08,Supplies,90.68
2021-08,Tables,3305.26
2021-09,Accessories,5567.08
2021-09,Appliances,2154.24
2021-09,Art,1047.33
2021-09,Binders,2849.25
2021-09,Bookcases,10468.31
2021-09,Chairs,9740.5
2021-09,Copiers,2382.63
2021-09,Envelopes,609.45
2021-09,Fasteners,61.0
2021-09,Furnishings,2254.99
2021-09,Labels,217.36
2021-09,Machines,674.84
2021-09,Paper,2245.41
2021-09,Phones,9783.6
2021-09,Storage,8339.2
2021-09,Supplies,939.91
2021-09,Tables,3501.95
2021-10,Accessories,2669.48
2021-10,Appliances,2642.65
2021-10,Art,277.37
2021-10,Binders,745.23
2021-10,Bookcases,2236.07
2021-10,Chairs,7044.22
2021-10,Copiers,928.36
2021-10,Envelopes,496.09
2021-10,Fasteners,17.05
2021-10,Furnishings,673.65
2021-10,Labels,660.29
2021-10,Machines,1029.12
2021-10,Paper,601.53
2021-10,Phones,5582.47
2021-10,Storage,3032.65
2021-10,Supplies,101.78
2021-10,Tables,2210.62
2021-11,Accessories,5720.13
2021-11,Appliances,6372.58
2021-11,Art,1097.47
2021-11,Binders,2800.29
2021-11,Bookcases,8904.23
2021-11,Chairs,12187.19
2021-11,Copiers,1468.55
2021-11,Envelopes,538.5
2021-11,Fasteners,154.68
2021-11,Furnishings,3817.87
2021-11,Labels,127.84
2021-11,Machines,8326.98
2021-11,Paper,2759.01
2021-11,Phones,7648.95
2021-11,Storage,7052.2
2021-11,Supplies,98.41
2021-11,Tables,6819.7
2021-12,Accessories,11710.62
2021-12,Appliances,2093.41
2021-12,Art,1038.39
2021-12,Binders,4658.99
2021-12,Bookcases,2880.74
2021-12,Chairs,11013.67
2021-12,Copiers,7787.67
2021-12,Envelopes,1002.7
2021-12,Fasteners,122.17
2021-12,Furnishings,2753.3
2021-12,Labels,369.3
2021-12,Machines,5917.62
2021-12,Paper,3184.43
2021-12,Phones,9545.47
2021-12,Storage,4283.98
2021-12,Supplies,37.17
2021-12,Tables,6879.92
2022-01,Accessories,2189.98
2022-01,Appliances,59.56
2022-01,Art,154.59
2022-01,Binders,1914.38
2022-01,Bookcases,2441.37
2022-01,Chairs,1625.76
2022-01,Copiers,985.28
2022-01,Envelopes,215.34
2022-01,Fasteners,7.25
2022-01,Furnishings,1092.91
2022-01,Labels,94.2
2022-01,Machines,0.0
2022-01,Paper,637.8
2022-01,Phones,3008.59
2022-01,Storage,2215.2
2022-01,Supplies,0.0
2022-01,Tables,2474.27
2022-02,Accessories,364.61
2022-02,Appliances,744.46
2022-02,Art,412.98
2022-02,Binders,583.78
2022-02,Bookcases,221.6
2022-02,Chairs,1602.26
2022-02,Copiers,0.0
2022-02,Envelopes,278.69
2022-02,Fasteners,66.51
2022-02,Furnishings,781.08
2022-02,Labels,32.49
2022-02,Machines,8002.29
2022-02,Paper,1271.08
2022-02,Phones,3277.78
2022-02,Storage,3170.68
2022-02,Supplies,23.58
2022-02,Tables,1216.01
2022-03,Accessories,2441.19
2022-03,Appliances,2392.82
2022-03,Art,328.36
2022-03,Binders,1289.88
2022-03,Bookcases,1277.3
2022-03,Chairs,7287.67
2022-03,Copiers,0.0
2022-03,Envelopes,542.78
2022-03,Fasteners,8.75
2022-03,Furnishings,2637.94
2022-03,Labels,9.93
2022-03,Machines,9725.53
2022-03,Paper,870.45
2022-03,Phones,10054.3
2022-03,Storage,2684.47
2022-03,Supplies,8812.43
2022-03,Tables,3106.01
2022-04,Accessories,1493.22
2022-04,Appliances,469.52
2022-04,Art,765.91
2022-04,Binders,2878.15
2022-04,Bookcases,1664.18
2022-04,Chairs,9771.84
2022-04,Copiers,1169.95
2022-04,Envelopes,169.45
2022-04,Fasteners,105.92
2022-04,Furnishings,838.52
2022-04,Labels,39.79
2022-04,Machines,8212.06
2022-04,Paper,1412.67
2022-04,Phones,2702.4
2022-04,Storage,4227.82
2022-04,Supplies,1133.9
2022-04,Tables,2001.34
2022-05,Accessories,3630.45
2022-05,Appliances,1938.32
2022-05,Art,670.29
2022-05,Binders,1180.25
2022-05,Bookcases,0.0
2022-05,Chairs,7728.32
2022-05,Copiers,9155.96
2022-05,Envelopes,127.93
2022-05,Fasteners,21.41
2022-05,Furnishings,3072.4
2022-05,Labels,162.36
2022-05,Machines,7220.84
2022-05,Paper,2912.27
2022-05,Phones,8702.38
2022-05,Storage,6104.96
2022-05,Supplies,194.12
2022-05,Tables,4661.16
2022-06,Accessories,1535.22
2022-06,Appliances,1887.56
2022-06,Art,183.1
2022-06,Binders,1106.99
2022-06,Bookcases,2376.8
2022-06,Chairs,3060.31
2022-06,Copiers,0.0
2022-06,Envelopes,119.58
2022-06,Fasteners,31.74
2022-06,Furnishings,1478.86
2022-06,Labels,379.71
2022-06,Machines,7903.4
2022-06,Paper,2574.82
2022-06,Phones,7697.59
2022-06,Storage,4004.77
2022-06,Supplies,1229.77
2022-06,Tables,6586.86
2022-07,Accessories,1231.28
2022-07,Appliances,2341.67
2022-07,Art,770.31
2022-07,Binders,3141.94
2022-07,Bookcases,2309.56
2022-07,Chairs,4902.71
2022-07,Copiers,5598.07
2022-07,Envelopes,525.74
2022-07,Fasteners,101.18
2022-07,Furnishings,1736.05
2022-07,Labels,191.43
2022-07,Machines,593.0
2022-07,Paper,1611.64
2022-07,Phones,6108.91
2022-07,Storage,5775.16
2022-07,Supplies,239.29
2022-07,Tables,3237.1
2022-08,Accessories,3918.32
2022-08,Appliances,2705.3
2022-08,Art,419.67
2022-08,Binders,1610.81
2022-08,Bookcases,618.4
2022-08,Chairs,5377.4
2022-08,Copiers,0.0
2022-08,Envelopes,382.09
2022-08,Fasteners,72.96
2022-08,Furnishings,867.24
2022-08,Labels,286.89
2022-08,Machines,933.82
2022-08,Paper,1028.69
2022-08,Phones,5044.92
2022-08,Storage,2495.47
2022-08,Supplies,377.33
2022-08,Tables,6432.49
2022-09,Accessories,7305.75
2022-09,Appliances,2454.74
